job title,compaany name,local job,jobs experience,link,date offer
Odoo Developer,Vettib,"Nasr City, Cairo, Egypt ",Freelance / ProjectHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · developer · Information Technology (IT) · Python · Odoo,https://wuzzuf.net/jobs/p/T50N7Zz9RvlT-Odoo-Developer-Vettib-Cairo-Egypt,7 days
Windows Administrator,Emaratech,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · System Administration · Linux · Engineering · Installation · Computer Engineering,https://wuzzuf.net/jobs/p/Fyyl9TIDGOgl-Windows-Administrator-Emaratech-Dubai-United-Arab-Emirates,6 days
DevOps Engineer,Adecco,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Software Engineering · Engineering · Computer Engineering,https://wuzzuf.net/jobs/p/djD79y5Bg6np-DevOps-Engineer-Adecco-Dubai-United-Arab-Emirates,6 days
Cloud Engineer,Link Datacenter,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Azure · Computer Science · DNS · Docker · Engineering · English,https://wuzzuf.net/jobs/p/qmnUpf7RMzxr-Cloud-Engineer-Link-Datacenter-Cairo-Egypt,7 days
Data Analyst,Ali Bin Ali,"Doha, Qatar ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/WoNO2ESYMnSX-Data-Analyst-Ali-Bin-Ali-Doha-Qatar,6 days
Odoo Developer,National Technology,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · business · Communication skills · Computer Science · Information Technology (IT) · Odoo · Python,https://wuzzuf.net/jobs/p/antADnkzc54a-Odoo-Developer-National-Technology-Cairo-Egypt,7 days
Backup Administrator - (Proficiency in French Language is required),DeepSource,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · System Administration · Engineering · Data Backup · Backup · SQL,https://wuzzuf.net/jobs/p/8iny52Um56dL-Backup-Administrator---Proficiency-in-French-Language-is-required-DeepSource-Cairo-Egypt,8 days
Lead Operation Engineer,NPCC,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Operations · Software Development · Software Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/UlEbvoHhqylv-Lead-Operation-Engineer-NPCC-Dubai-United-Arab-Emirates,9 days
Senior Consultant for Risk and Compliance (Arabic Speaking),Corporate General Solutions (Pvt.) Ltd,"Riyadh, Saudi Arabia ",Full TimeNot specified · Accounting/Finance · IT/Software Development · Computer Science · Information Technology (IT) · CIA · Java · .NET · Accounting · CPA · Commerce,https://wuzzuf.net/jobs/p/VOIAj3aULzE3-Senior-Consultant-for-Risk-and-Compliance-Arabic-Speaking-Corporate-General-Solutions-Pvt-Ltd-Riyadh-Saudi-Arabia,10 days
App/ Software / Solution Architect,Sscegypt,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Computer Engineering · POC · CSS · Design Documents,https://wuzzuf.net/jobs/p/u6LOlA48uOxn-App-Software-Solution-Architect-Sscegypt-Cairo-Egypt,11 days
