job title,compaany name,local job,jobs experience,link,date offer
Back-End Developer,jmskef,"Banha, Qalubia, Egypt ",Full TimeWork From HomeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · Laravel PHP · JavaScript · back-end · Information Technology (IT) · SQL · Database · Laravel,https://wuzzuf.net/jobs/p/jM1z0eMELgyZ-Back-End-Developer-jmskef-Qalubia-Egypt,1 month
Risk Manager,Tabby,"Riyadh, Saudi Arabia ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Accounting · Communication skills · Communication · Computer Science · Financial Analysis · Finance · Risk Management · SQL,https://wuzzuf.net/jobs/p/HDUEgGdhYuWT-Risk-Manager-Tabby-Riyadh-Saudi-Arabia,7 days
Full Stack Developer,Confidential,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Full Stack · HTML · Information Technology (IT) · JavaScript · Java · MySQL · jQuery · Computer Science · Angular,https://wuzzuf.net/jobs/p/OPCc5CLdDGdI-Full-Stack-Developer-Giza-Egypt,2 months
Cross-Platform Full Stack Developer,Dakkaken,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Full Stack · Cross-platform,https://wuzzuf.net/jobs/p/rNUCYnLqiEXu-Cross-Platform-Full-Stack-Developer-Dakkaken-Cairo-Egypt,2 months
Junior System Administrator,IDH,"6th of October, Giza, Egypt ",Full TimeEntry Level · 2 - 4 Yrs of Exp · IT/Software Development · Administration · Information Technology (IT),https://wuzzuf.net/jobs/p/bHmGNKohzs0W-Junior-System-Administrator-IDH-Giza-Egypt,2 months
RPA Developer/Analyst - 1-3 years,AutoMind Consulting Services,"Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · RPA · Software Development · SQL · Business Analysis · Automation,https://wuzzuf.net/jobs/p/yoHgZkiTFyan-RPA-DeveloperAnalyst---1-3-years-AutoMind-Consulting-Services-Cairo-Egypt,11 days
Full Stack Developer,proleaders,"Alexandria, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Full Stack · HTML · Computer Science · Java · MySQL · Software Development,https://wuzzuf.net/jobs/p/Ny3dZIq6fWVF-Full-Stack-Developer-proleaders-Alexandria-Egypt,2 months
Senior Backend Developer,Al-hakeema,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · IT/Software Development · backend · Computer Science · Laravel · MVC · Node.js · PHP · Software Development · Software Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/mkipbPgWwK7j-Senior-Backend-Developer-Al-hakeema-Cairo-Egypt,1 month
Senior Azure DevOps Engineer,Tristratus.ltd,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure DevOps · Devops Engineer · senior · DevOps · Azure · Software Development · Information Technology (IT) · AWS,https://wuzzuf.net/jobs/p/R7HEtxjgPJ9M-Senior-Azure-DevOps-Engineer-Tristratus-ltd-Cairo-Egypt,20 days
Teamleader full stack,SATA Group,"Nasr City, Cairo, Egypt ",Full TimeManager · 3 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Debugging · Full Stack · Full Stack Developer · Information Technology (IT) · Software Development · JavaScript · developer,https://wuzzuf.net/jobs/p/mjSidp0yI0YC-Teamleader-full-stack-SATA-Group-Cairo-Egypt,9 days
Computer Science Instructor (For Kids),Edu-Zone,"New Cairo, Cairo, Egypt ",Full TimePart TimeEntry Level · 0 - 3 Yrs of Exp · females_preferred · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Teaching · Education · STEAM · Computer Skills · Astronomy · Science · Physics,https://wuzzuf.net/jobs/p/MHEktKJBjy8o-Computer-Science-Instructor-For-Kids-Edu-Zone-Cairo-Egypt,1 month
Senior Information Technology Specialist,Athear,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software · Programming · Development · IT · English · Software Development,https://wuzzuf.net/jobs/p/wiDnJu5nNlWi-Senior-Information-Technology-Specialist-Athear-Cairo-Egypt,1 month
Full Stack Developer,DBS,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 2 Yrs of Exp · Business Development · Computer Science · developer · Full Stack · Full Stack Developer · Information Technology (IT) · JavaScript · Software Development · Stack,https://wuzzuf.net/jobs/p/p1qpf2AZXzBu-Full-Stack-Developer-DBS-Cairo-Egypt,2 days
Senior Java Developer,NFQ Technologies,"Cairo, Egypt ",Full TimeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Software Engineering · CSS · SQL,https://wuzzuf.net/jobs/p/K3H1DOadQLEG-Senior-Java-Developer-NFQ-Technologies-Cairo-Egypt,23 days
SW Senior DevOps Engineer,softprograms,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineering · DevOps · Docker · Jenkins · Linux · Kubernetes · Terraform · Ansible,https://wuzzuf.net/jobs/p/KBrGwHicJY67-SW-Senior-DevOps-Engineer-softprograms-Cairo-Egypt,1 month
VMware Engineer - Level 3,Michael Page,"Dubai, United Arab Emirates ",Full TimeManager · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · VMWare · Engineering · Computer Engineering · CCNA · DNS,https://wuzzuf.net/jobs/p/g/UySVjzAq8wIx-VMware-Engineer---Level-3-Michael-Page-Dubai-United-Arab-Emirates,10 hours
Senior Software Automation Tester,Wakeb Data,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Software Automation · Quality Control · Software Testing,https://wuzzuf.net/jobs/p/ChaezasOzrMh-Senior-Software-Automation-Tester-Wakeb-Data-Giza-Egypt,2 months
IT Developer,Cargoes,"Suez, Egypt ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Engineering · Computer Engineering,https://wuzzuf.net/jobs/p/Xdc0dzuf40mz-IT-Developer-Cargoes-Suez-Egypt,7 days
Full Stack Web Developer,Seven,"Faisal, Giza, Egypt ",Full TimeOn-siteExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Angular · JavaScript · CSS · jQuery · MySQL · React · Software Development,https://wuzzuf.net/jobs/p/4ziTSAaikppv-Full-Stack-Web-Developer-Seven-Giza-Egypt,1 month
IOT Team Leader,Noases,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software · SQL · JSON · Communication · Software Development · Embedded System · IOT · Algorithms,https://wuzzuf.net/jobs/p/0c1X5V07DFwg-IOT-Team-Leader-Noases-Cairo-Egypt,1 month
IT Systems Administrator,Confidential,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Administration · Computer Engineering · Engineering · IP · network · Networking,https://wuzzuf.net/jobs/p/IVr7SAQxHkNl-IT-Systems-Administrator-Cairo-Egypt,2 days
AI BI Research Engineer,Ewa,"Cairo, Egypt ",Full TimeSenior Management · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · AI · Artificial Intelligence · Business Intelligence · BI,https://wuzzuf.net/jobs/p/5JasNijfPCfM-AI-BI-Research-Engineer-Ewa-Cairo-Egypt,2 months
Security Operations Manager - SOC,Cyber Gate Defense,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · Logistics/Supply Chain · Operations/Management · Sales/Retail · Operations · Management · Microsoft Office · Sales · Customer Service · Engineering · Administration,https://wuzzuf.net/jobs/p/IZFLnK1vp3Bd-Security-Operations-Manager---SOC-Cyber-Gate-Defense-Abu-Dhabi-United-Arab-Emirates,4 days
Full Stack Web Developer,IQRA Network,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack · HTML · Information Technology (IT) · Java · JavaScript · jQuery,https://wuzzuf.net/jobs/p/U1uaBFjiNlRl-Full-Stack-Web-Developer-IQRA-Network-Cairo-Egypt,1 month
Senior Backend/Data Engineer,Skilkit,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 4 - 10 Yrs of Exp · Human Resources · IT/Software Development · Training/Instructor · backend · AWS · Computer Science · Engineering · Information Technology (IT) · JavaScript · Laravel,https://wuzzuf.net/jobs/p/4gqpTuSLhfWh-Senior-BackendData-Engineer-Skilkit-Dubai-United-Arab-Emirates,28 days
Senior Cloud Engineer,ManpowerGroup Middle East,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/hxAbA3MV8AM4-Senior-Cloud-Engineer-ManpowerGroup-Middle-East-Abu-Dhabi-United-Arab-Emirates,1 day
Technical Lead Software Engineer (Full Stack),Aman,"6th of October, Giza, Egypt ",Full TimeExperienced · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Agile · Angular · JavaScript · React · Software Development · Computer Science · Engineering,https://wuzzuf.net/jobs/p/40n5bL7FycSK-Technical-Lead-Software-Engineer-Full-Stack-Aman-Giza-Egypt,26 days
ERPNext Customizer,ASTROCOM LLC-FZ,"Cairo, Egypt ",Work From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · ERPNext · ERPNext Customizer · ERPNext Impelementation,https://wuzzuf.net/jobs/p/gptQhIbWRV8n-ERPNext-Customizer-ASTROCOM-LLC-FZ-Cairo-Egypt,1 month
Solution Architect,Sscegypt,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Software Development · Solution Architecture,https://wuzzuf.net/jobs/p/A27QpuH8Hj3S-Solution-Architect-Sscegypt-Cairo-Egypt,2 days
Senior DevOps Engineer,NFQ Technologies,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/TTidncE76pCq-Senior-DevOps-Engineer-NFQ-Technologies-Cairo-Egypt,3 days
Senior DevOps Engineer,Albostany for real estate,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/EtOzxDsylEV1-Senior-DevOps-Engineer-Albostany-for-real-estate-Cairo-Egypt,15 days
Senior Odoo Developer,Perfect tech,"Nasr City, Cairo, Egypt ",Full TimeSenior Management · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · developer · Computer Science · Information Technology (IT) · Odoo Developer · senior · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/Pd8FiQrBmSck-Senior-Odoo-Developer-Perfect-tech-Cairo-Egypt,1 month
Business Intelligence Support Specialist,Vodafone - Egypt,"Cairo, Egypt ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Software Engineering · Business Development · Customer Care · Customer Service,https://wuzzuf.net/jobs/p/3lLrtM0u7bUd-Business-Intelligence-Support-Specialist-Vodafone---Egypt-Cairo-Egypt,13 days
Senior Cloud Engineer,Manpower,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/g/Sobab1k2pt7I-Senior-Cloud-Engineer-Manpower-Abu-Dhabi-United-Arab-Emirates,1 hour
Sr. Software Engineer,yalla fel sekka,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · Software · Software Testing,https://wuzzuf.net/jobs/p/K8Z0kmDf2w7W-Sr-Software-Engineer-yalla-fel-sekka-Cairo-Egypt,28 days
Senior IOT Engineer,Noases,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software Development · MySQL · SQL · Software · Engineering,https://wuzzuf.net/jobs/p/uPujStCZE9Cz-Senior-IOT-Engineer-Noases-Cairo-Egypt,2 months
Senior Growth Manager,Careem,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Project/Program Management · Sales/Retail · Sales · Sales Skills · Customer Service · Marketing · Project Management · Information Technology (IT) · Customer Support,https://wuzzuf.net/jobs/p/g/kbDTA3WfBkR8-Senior-Growth-Manager-Careem-Dubai-United-Arab-Emirates,1 hour
Odoo Functional Consultant & Project Manager,Quick Services,"Shorouk City, Cairo, Egypt ",Full TimeManager · 4 - 9 Yrs of Exp · IT/Software Development · Project/Program Management · Strategy/Consulting · Odoo functional consultant · Odoo functional · Project Management · Functional · ERP,https://wuzzuf.net/jobs/p/czcfIFRJ8484-Odoo-Functional-Consultant-Project-Manager-Quick-Services-Cairo-Egypt,1 month
Growth Manager,Careem,"Dubai, United Arab Emirates ",Full TimeNot specified · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · SEO · Digital Marketing · SEM · Growth · Management,https://wuzzuf.net/jobs/p/YJODFfjtL2FC-Growth-Manager-Careem-Dubai-United-Arab-Emirates,5 days
Senior Data Analyst,Dubizzle,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Data Analysis · Business Analysis · Microsoft Office · SQL,https://wuzzuf.net/jobs/p/q3RJq3l6fySB-Senior-Data-Analyst-Dubizzle-Cairo-Egypt,9 days
Business Intelligence Engineer,Amazon Middle East and North Africa FZ-LLC - F52,"Dubai, United Arab Emirates ",Full TimeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Business Intelligence · Business Development · SQL · BI,https://wuzzuf.net/jobs/p/CZIAACoRzDeJ-Business-Intelligence-Engineer-Amazon-Middle-East-and-North-Africa-FZ-LLC---F52-Dubai-United-Arab-Emirates,26 days
Senior DevOps Engineer,"Integrant, Inc.","Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/cW7yfMoapmhK-Senior-DevOps-Engineer-Integrant-Inc-Cairo-Egypt,11 days
Senior Application Specialist,Manpower,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · Information Technology (IT) · Human Resources (HR) · Computer Science · E-marketing · Microsoft Office,https://wuzzuf.net/jobs/p/g/Mbs3M0PeocRY-Senior-Application-Specialist-Manpower-Dubai-United-Arab-Emirates,14 hours
R/Shiny Developer,Appsilon,"Cairo, Egypt ",Full TimeNot specified · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · HTML5 · R&amp;D · CSS3 · Computer Engineering · Angular,https://wuzzuf.net/jobs/p/HWHzrRFRoGvC-RShiny-Developer-Appsilon-Cairo-Egypt,1 day
IT Services & Consulting,Beinex,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Customer Service · Computer Science · Customer Support · Customer Care · Sales · Sales Skills,https://wuzzuf.net/jobs/p/qMWxwTQXCxUK-IT-Services-Consulting-Beinex-Dubai-United-Arab-Emirates,20 days
Security Engineer,Core42,"Dubai, United Arab Emirates ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Security · Computer Engineering · Software Engineering · Networking,https://wuzzuf.net/jobs/p/g/NaNRVppE3ZMr-Security-Engineer-Core42-Dubai-United-Arab-Emirates,2 hours
Senior Security Engineer,Core42,"Dubai, United Arab Emirates ",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Electrical Engineering,https://wuzzuf.net/jobs/p/g/TZvasRhotkdn-Senior-Security-Engineer-Core42-Dubai-United-Arab-Emirates,2 hours
Senior Data Engineer,Mozn,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/Ww7zDNcpxBV5-Senior-Data-Engineer-Mozn-Riyadh-Saudi-Arabia,5 days
Analyst,Careem,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office,https://wuzzuf.net/jobs/p/QDHwDyi7UfdP-Analyst-Careem-Dubai-United-Arab-Emirates,2 days
Solution Architect - Abu Dhabi UAE Ref. 005213,Novancy Consulting,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Software Development · Solution Architecture,https://wuzzuf.net/jobs/p/v8tJijri9zFf-Solution-Architect---Abu-Dhabi-UAE-Ref-005213-Novancy-Consulting-Dubai-United-Arab-Emirates,15 days
Network Systems Engineer (Pre-Sales) - Cloud Networking,"Arista Networks, Inc.","Riyadh, Saudi Arabia ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Installation · Networking · Networks,https://wuzzuf.net/jobs/p/hli6eIq405yd-Network-Systems-Engineer-Pre-Sales---Cloud-Networking-Arista-Networks-Inc-Riyadh-Saudi-Arabia,28 days
Data & Analytics Analyst,Alphapartners,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data Entry · Microsoft Office · Administration · Data Analysis · Software Development,https://wuzzuf.net/jobs/p/jXdNujMgsUth-Data-Analytics-Analyst-Alphapartners-Dubai-United-Arab-Emirates,13 days
Data & Analytics Analyst,Careem,"Dubai, United Arab Emirates ",Full TimeNot specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data Entry · Microsoft Office · Administration · Data Analysis · Software Development,https://wuzzuf.net/jobs/p/5T72s1N2q8dr-Data-Analytics-Analyst-Careem-Dubai-United-Arab-Emirates,13 days
URGENT FULLTIME: **Upwork** Junior Cover Letter Writer,Retan,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · Copywriting · Proposal Writing · English Literature,https://wuzzuf.net/jobs/p/vaq4GCMvKq3P-URGENT-FULLTIME-Upwork-Junior-Cover-Letter-Writer-Retan-Cairo-Egypt,13 days
Application Senior Developer,Sky logistics,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Software Development · Information Technology (IT) · JavaScript · Git · Computer Science · SQL · Software Engineering,https://wuzzuf.net/jobs/p/LCfw0sSzayE0-Application-Senior-Developer-Sky-logistics-Giza-Egypt,2 months
Senior Cloud Automation Engineer,Evolvice GmbH,"Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · AWS · Engineering,https://wuzzuf.net/jobs/p/SczEh9ilpQZn-Senior-Cloud-Automation-Engineer-Evolvice-GmbH-Cairo-Egypt,2 months
"IT Support Engineer, OPS Tech IT",Souq.com for E-Commerce LLC - G32,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Engineering · Troubleshooting · Installation · Computer Engineering,https://wuzzuf.net/jobs/p/JpSG0qvVv142-IT-Support-Engineer-OPS-Tech-IT-Souq-com-for-E-Commerce-LLC---G32-Cairo-Egypt,25 days
